league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,match_date
5,2020,14215,2020-09-26 15:00:00,175,163,Saint-Etienne,Rennes,REN,SEN,0,0.3608,0,0.200419,0.200419,-1.1712509999999998,18.38888888888889,4,3,2.4029,3,1.37167,1.37167,1.1712509999999998,11.48148148148148,4,2020-09-26 15:00:00
5,2020,14219,2020-09-27 13:00:00,167,241,Angers,Brest,BRE,ANG,3,0.5361,3,1.11753,1.11753,-0.48645,8.5,3,0,2.2728,2,2.36408,1.60398,0.48645,7.75,7,2020-09-27 13:00:00
5,2020,14217,2020-09-27 11:00:00,176,170,Bordeaux,Nice,NIC,BOR,1,1.8173,0,1.17944,1.17944,0.534131,17.714285714285715,5,1,0.8726,0,0.645309,0.645309,-0.534131,10.258064516129032,9,2020-09-27 11:00:00
5,2020,14218,2020-09-27 13:00:00,181,166,Dijon,Montpellier,MPL,DJN,1,0.8883,2,1.60909,1.60909,0.0570199999999998,9.666666666666666,7,1,1.8849,2,2.31217,1.55207,-0.0570199999999998,8.842105263157896,6,2020-09-27 13:00:00
5,2020,14222,2020-09-27 15:00:00,179,178,Lorient,Lyon,LYO,LOR,1,0.7813,1,0.299841,0.299841,-0.5189429999999999,17.95,4,1,1.8214,1,0.818784,0.818784,0.5189429999999999,12.333333333333334,11,2020-09-27 15:00:00
5,2020,14220,2020-09-27 13:00:00,171,225,Monaco,Strasbourg,STR,MON,3,1.4562,3,1.56306,1.56306,0.91664,9.08695652173913,6,0,1.2474,2,1.40652,0.64642,-0.91664,16.1,3,2020-09-27 13:00:00
5,2020,14221,2020-09-27 13:00:00,235,210,Nimes,Lens,LEN,NIM,1,0.5217,1,0.370624,0.370624,-1.001326,12.5,5,1,2.2236,1,1.37195,1.37195,1.001326,10.590909090909092,6,2020-09-27 13:00:00
5,2020,14223,2020-09-27 19:00:00,177,161,Reims,Paris Saint Germain,PSG,REI,0,0.0269,0,0.208814,0.208814,-3.727516,26.76923076923077,6,3,2.9561,2,3.93633,3.93633,3.727516,11.2,26,2020-09-27 19:00:00
5,2020,15806,2020-10-02 19:00:00,161,167,Paris Saint Germain,Angers,ANG,PSG,3,2.5893,6,2.9145,2.9145,1.970747,10.387096774193548,15,0,0.2883,1,0.943753,0.943753,-1.970747,33.22222222222222,2,2020-10-02 19:00:00
5,2020,15807,2020-10-03 15:00:00,210,175,Lens,Saint-Etienne,SEN,LEN,3,2.8573,2,2.13387,1.37384,1.2805467,3.0980392156862746,8,0,0.0772,0,0.0932933,0.0932933,-1.2805467,22.0,0,2020-10-03 15:00:00
5,2020,15808,2020-10-03 19:00:00,170,168,Nice,Nantes,NAN,NIC,3,1.9977000000000005,2,1.9654,1.9654,1.59022,3.595238095238096,11,0,0.7424999999999999,1,1.13528,0.37518,-1.59022,32.714285714285715,3,2020-10-03 19:00:00
5,2020,15811,2020-10-04 13:00:00,176,181,Bordeaux,Dijon,DJN,BOR,3,2.4666,3,1.50071,1.50071,1.262952,9.264705882352942,2,0,0.3297,0,0.237758,0.237758,-1.262952,13.12,2,2020-10-04 13:00:00
5,2020,15812,2020-10-04 13:00:00,241,171,Brest,Monaco,MON,BRE,3,0.7162999999999999,1,0.732353,0.732353,-0.7995669999999999,20.666666666666668,1,0,2.0141,0,1.53192,1.53192,0.7995669999999999,3.4444444444444446,9,2020-10-04 13:00:00
5,2020,15815,2020-10-04 19:00:00,178,164,Lyon,Marseille,MAR,LYO,1,2.8918000000000004,1,3.14327,2.38317,2.006229,7.0,13,1,0.0646,1,0.376941,0.376941,-2.006229,21.3,2,2020-10-04 19:00:00
