date,home,away,home_goals,away_goals,season,team,opponent,is_home,gf,ga,result,match_id,xg,npxg,poss,pass_acc,yellow_cards,red_cards,clearances
2023-02-04 16:00:00,Paris Saint Germain,Toulouse,2,1,2022,Paris Saint Germain,Toulouse,1,2,1,win,20230204_Paris Saint Germain_Toulouse,1.80428,1.80428,,,,,
2023-02-04 20:00:00,Rennes,Lille,1,3,2022,Rennes,Lille,1,1,3,loss,20230204_Rennes_Lille,2.18737,2.18737,39.0,73.3,1.0,0.0,18.0
2023-02-04 18:00:00,Troyes,Lyon,1,3,2022,Troyes,Lyon,1,1,3,loss,20230204_Troyes_Lyon,0.699933,0.699933,42.0,79.0,0.0,0.0,20.0
2023-02-05 14:00:00,Ajaccio,Nantes,0,2,2022,Ajaccio,Nantes,1,0,2,loss,20230205_Ajaccio_Nantes,0.223431,0.223431,43.0,68.9,2.0,1.0,16.0
2023-02-05 14:00:00,Auxerre,Reims,0,0,2022,Auxerre,Reims,1,0,0,draw,20230205_Auxerre_Reims,0.610426,0.610426,40.0,70.1,2.0,0.0,18.0
2023-02-05 16:05:00,Brest,Lens,1,1,2022,Brest,Lens,1,1,1,draw,20230205_Brest_Lens,2.17044,2.17044,34.0,72.6,4.0,0.0,33.0
2023-02-05 12:00:00,Clermont Foot,Monaco,0,2,2022,Clermont Foot,Monaco,1,0,2,loss,20230205_Clermont Foot_Monaco,0.276781,0.276781,53.0,80.2,1.0,0.0,15.0
2023-02-05 14:00:00,Lorient,Angers,0,0,2022,Lorient,Angers,1,0,0,draw,20230205_Lorient_Angers,0.68751,0.68751,56.0,84.8,2.0,0.0,17.0
2023-02-05 19:45:00,Marseille,Nice,1,3,2022,Marseille,Nice,1,1,3,loss,20230205_Marseille_Nice,2.61067,2.61067,57.0,80.7,0.0,0.0,9.0
2023-02-05 14:00:00,Strasbourg,Montpellier,2,0,2022,Strasbourg,Montpellier,1,2,0,win,20230205_Strasbourg_Montpellier,1.51625,1.51625,33.0,67.0,3.0,1.0,31.0
2023-02-10 20:00:00,Nice,Ajaccio,3,0,2022,Nice,Ajaccio,1,3,0,win,20230210_Nice_Ajaccio,0.568545,0.568545,62.0,88.2,1.0,0.0,12.0
2023-02-11 20:00:00,Clermont Foot,Marseille,0,2,2022,Clermont Foot,Marseille,1,0,2,loss,20230211_Clermont Foot_Marseille,1.08989,1.08989,38.0,74.4,4.0,0.0,17.0
2023-02-11 16:00:00,Monaco,Paris Saint Germain,3,1,2022,Monaco,Paris Saint Germain,1,3,1,win,20230211_Monaco_Paris Saint Germain,3.80363,3.80363,42.0,85.0,0.0,0.0,13.0
2023-02-12 14:00:00,Angers,Auxerre,1,1,2022,Angers,Auxerre,1,1,1,draw,20230212_Angers_Auxerre,0.445823,0.445823,50.0,73.5,2.0,0.0,14.0
2023-02-12 14:00:00,Lille,Strasbourg,2,0,2022,Lille,Strasbourg,1,2,0,win,20230212_Lille_Strasbourg,3.65427,2.89418,67.0,89.2,1.0,0.0,17.0
2023-02-12 19:45:00,Lyon,Lens,2,1,2022,Lyon,Lens,1,2,1,win,20230212_Lyon_Lens,1.52893,1.52893,41.0,78.1,1.0,0.0,27.0
2023-02-12 14:00:00,Montpellier,Brest,3,0,2022,Montpellier,Brest,1,3,0,win,20230212_Montpellier_Brest,3.94905,3.18895,44.0,72.4,1.0,0.0,13.0
2023-02-12 16:05:00,Nantes,Lorient,1,0,2022,Nantes,Lorient,1,1,0,win,20230212_Nantes_Lorient,1.64174,1.64174,49.0,81.3,0.0,0.0,13.0
2023-02-12 14:00:00,Reims,Troyes,4,0,2022,Reims,Troyes,1,4,0,win,20230212_Reims_Troyes,2.10651,2.10651,53.0,77.0,1.0,0.0,11.0
2023-02-12 12:00:00,Toulouse,Rennes,3,1,2022,Toulouse,Rennes,1,3,1,win,20230212_Toulouse_Rennes,2.71302,2.71302,32.0,74.4,1.0,0.0,27.0
2023-02-17 20:00:00,Auxerre,Lyon,2,1,2022,Auxerre,Lyon,1,2,1,win,20230217_Auxerre_Lyon,1.34783,0.587732,35.0,73.8,4.0,0.0,15.0
2023-02-18 16:00:00,Nice,Reims,0,0,2022,Nice,Reims,1,0,0,draw,20230218_Nice_Reims,1.53255,1.53255,52.0,79.8,1.0,0.0,9.0
2023-02-18 20:00:00,Strasbourg,Angers,2,1,2022,Strasbourg,Angers,1,2,1,win,20230218_Strasbourg_Angers,1.94958,1.94958,36.0,75.3,3.0,0.0,26.0
2023-02-19 14:00:00,Brest,Monaco,1,2,2022,Brest,Monaco,1,1,2,loss,20230219_Brest_Monaco,0.76754,0.76754,48.0,78.4,1.0,0.0,20.0
2023-02-19 16:05:00,Lens,Nantes,3,1,2022,Lens,Nantes,1,3,1,win,20230219_Lens_Nantes,3.13027,3.13027,57.0,85.2,0.0,0.0,19.0
2023-02-19 14:00:00,Lorient,Ajaccio,3,0,2022,Lorient,Ajaccio,1,3,0,win,20230219_Lorient_Ajaccio,2.43638,1.67629,58.0,85.4,0.0,0.0,12.0
2023-02-19 12:00:00,Paris Saint Germain,Lille,4,3,2022,Paris Saint Germain,Lille,1,4,3,win,20230219_Paris Saint Germain_Lille,2.09603,2.09603,,,,,
2023-02-19 14:00:00,Rennes,Clermont Foot,2,0,2022,Rennes,Clermont Foot,1,2,0,win,20230219_Rennes_Clermont Foot,1.67258,1.67258,59.0,87.4,0.0,0.0,23.0
2023-02-19 19:45:00,Toulouse,Marseille,2,3,2022,Toulouse,Marseille,1,2,3,loss,20230219_Toulouse_Marseille,2.09816,2.09816,52.0,82.1,0.0,0.0,22.0
2023-02-19 14:00:00,Troyes,Montpellier,0,1,2022,Troyes,Montpellier,1,0,1,loss,20230219_Troyes_Montpellier,0.0856634,0.0856634,51.0,78.6,2.0,1.0,39.0
2023-02-24 20:00:00,Lille,Brest,2,1,2022,Lille,Brest,1,2,1,win,20230224_Lille_Brest,0.77221,0.77221,69.0,84.7,2.0,0.0,7.0
2023-02-25 16:00:00,Angers,Lyon,1,3,2022,Angers,Lyon,1,1,3,loss,20230225_Angers_Lyon,1.13511,1.13511,43.0,80.7,0.0,0.0,11.0
2023-02-25 20:00:00,Montpellier,Lens,1,1,2022,Montpellier,Lens,1,1,1,draw,20230225_Montpellier_Lens,0.645251,0.645251,39.0,77.7,0.0,0.0,29.0
2023-02-26 14:00:00,Ajaccio,Troyes,2,1,2022,Ajaccio,Troyes,1,2,1,win,20230226_Ajaccio_Troyes,3.94522,3.18513,52.0,75.9,2.0,0.0,16.0
2023-02-26 14:00:00,Clermont Foot,Strasbourg,1,1,2022,Clermont Foot,Strasbourg,1,1,1,draw,20230226_Clermont Foot_Strasbourg,1.74774,1.74774,56.0,69.8,1.0,0.0,13.0
2023-02-26 12:00:00,Lorient,Auxerre,0,1,2022,Lorient,Auxerre,1,0,1,loss,20230226_Lorient_Auxerre,1.04974,1.04974,61.0,82.2,2.0,0.0,9.0
2023-02-26 19:45:00,Marseille,Paris Saint Germain,0,3,2022,Marseille,Paris Saint Germain,1,0,3,loss,20230226_Marseille_Paris Saint Germain,2.28992,2.28992,54.0,83.0,0.0,0.0,11.0
2023-02-26 16:05:00,Monaco,Nice,0,3,2022,Monaco,Nice,1,0,3,loss,20230226_Monaco_Nice,0.68882,0.68882,56.0,85.6,0.0,0.0,5.0
2023-02-26 14:00:00,Nantes,Rennes,0,1,2022,Nantes,Rennes,1,0,1,loss,20230226_Nantes_Rennes,2.42469,2.42469,56.0,75.4,2.0,0.0,12.0
2023-02-26 14:00:00,Reims,Toulouse,3,0,2022,Reims,Toulouse,1,3,0,win,20230226_Reims_Toulouse,2.17445,2.17445,47.0,79.8,0.0,0.0,17.0
2023-03-03 20:00:00,Nice,Auxerre,1,1,2022,Nice,Auxerre,1,1,1,draw,20230303_Nice_Auxerre,1.73919,0.979093,64.0,83.3,0.0,0.0,12.0
2023-03-04 16:00:00,Lens,Lille,1,1,2022,Lens,Lille,1,1,1,draw,20230304_Lens_Lille,0.616556,0.616556,38.0,71.9,2.0,0.0,14.0
2023-03-04 20:00:00,Paris Saint Germain,Nantes,4,2,2022,Paris Saint Germain,Nantes,1,4,2,win,20230304_Paris Saint Germain_Nantes,1.10912,1.10912,,,,,
2023-03-05 16:05:00,Lyon,Lorient,0,0,2022,Lyon,Lorient,1,0,0,draw,20230305_Lyon_Lorient,2.54074,2.54074,53.0,85.7,1.0,0.0,14.0
2023-03-05 14:00:00,Montpellier,Angers,5,0,2022,Montpellier,Angers,1,5,0,win,20230305_Montpellier_Angers,3.41548,2.65539,60.0,84.5,1.0,0.0,9.0
2023-03-05 14:00:00,Reims,Ajaccio,1,0,2022,Reims,Ajaccio,1,1,0,win,20230305_Reims_Ajaccio,0.40953,0.40953,64.0,80.0,2.0,0.0,8.0
2023-03-05 19:45:00,Rennes,Marseille,0,1,2022,Rennes,Marseille,1,0,1,loss,20230305_Rennes_Marseille,1.03495,1.03495,55.0,77.3,1.0,0.0,7.0
2023-03-05 14:00:00,Strasbourg,Brest,0,1,2022,Strasbourg,Brest,1,0,1,loss,20230305_Strasbourg_Brest,0.983616,0.983616,62.0,73.2,2.0,0.0,14.0
2023-03-05 14:00:00,Toulouse,Clermont Foot,0,1,2022,Toulouse,Clermont Foot,1,0,1,loss,20230305_Toulouse_Clermont Foot,1.02505,1.02505,51.0,80.4,4.0,0.0,10.0
2023-03-05 12:00:00,Troyes,Monaco,2,2,2022,Troyes,Monaco,1,2,2,draw,20230305_Troyes_Monaco,0.879409,0.879409,39.0,69.9,0.0,0.0,35.0
2023-03-10 20:00:00,Lille,Lyon,3,3,2022,Lille,Lyon,1,3,3,draw,20230310_Lille_Lyon,2.35286,0.832675,55.0,81.9,5.0,0.0,13.0
2023-03-11 16:00:00,Auxerre,Rennes,0,0,2022,Auxerre,Rennes,1,0,0,draw,20230311_Auxerre_Rennes,0.961104,0.961104,33.0,69.3,2.0,0.0,12.0
2023-03-11 20:00:00,Brest,Paris Saint Germain,1,2,2022,Brest,Paris Saint Germain,1,1,2,loss,20230311_Brest_Paris Saint Germain,0.751032,0.751032,39.0,79.7,1.0,0.0,19.0
2023-03-12 14:00:00,Ajaccio,Montpellier,0,1,2022,Ajaccio,Montpellier,1,0,1,loss,20230312_Ajaccio_Montpellier,0.191981,0.191981,48.0,69.6,2.0,0.0,11.0
2023-03-12 14:00:00,Angers,Toulouse,0,2,2022,Angers,Toulouse,1,0,2,loss,20230312_Angers_Toulouse,1.02056,1.02056,40.0,78.0,0.0,0.0,22.0
2023-03-12 12:00:00,Clermont Foot,Lens,0,4,2022,Clermont Foot,Lens,1,0,4,loss,20230312_Clermont Foot_Lens,1.86085,1.86085,47.0,82.2,1.0,0.0,14.0
2023-03-12 14:00:00,Lorient,Troyes,2,0,2022,Lorient,Troyes,1,2,0,win,20230312_Lorient_Troyes,1.79136,1.79136,52.0,85.0,0.0,0.0,22.0
2023-03-12 19:45:00,Marseille,Strasbourg,2,2,2022,Marseille,Strasbourg,1,2,2,draw,20230312_Marseille_Strasbourg,1.67973,0.919635,41.0,72.4,0.0,1.0,25.0
2023-03-12 16:05:00,Monaco,Reims,0,1,2022,Monaco,Reims,1,0,1,loss,20230312_Monaco_Reims,0.98037,0.98037,49.0,77.2,1.0,0.0,10.0
2023-03-12 14:00:00,Nantes,Nice,2,2,2022,Nantes,Nice,1,2,2,draw,20230312_Nantes_Nice,1.75098,0.990885,45.0,86.3,1.0,0.0,20.0
2023-03-17 20:00:00,Lyon,Nantes,1,1,2022,Lyon,Nantes,1,1,1,draw,20230317_Lyon_Nantes,1.62188,1.62188,66.0,87.3,0.0,0.0,14.0
2023-03-18 20:00:00,Lens,Angers,3,0,2022,Lens,Angers,1,3,0,win,20230318_Lens_Angers,1.64899,1.64899,46.0,84.5,0.0,0.0,12.0
2023-03-18 16:00:00,Toulouse,Lille,0,2,2022,Toulouse,Lille,1,0,2,loss,20230318_Toulouse_Lille,2.05248,2.05248,47.0,82.5,2.0,0.0,20.0
2023-03-19 12:00:00,Ajaccio,Monaco,0,2,2022,Ajaccio,Monaco,1,0,2,loss,20230319_Ajaccio_Monaco,0.409601,0.409601,42.0,70.5,2.0,1.0,20.0
2023-03-19 14:00:00,Montpellier,Clermont Foot,2,1,2022,Montpellier,Clermont Foot,1,2,1,win,20230319_Montpellier_Clermont Foot,3.01981,3.01981,56.0,76.5,3.0,1.0,19.0
2023-03-19 14:00:00,Nice,Lorient,1,1,2022,Nice,Lorient,1,1,1,draw,20230319_Nice_Lorient,1.21674,1.21674,53.0,86.1,0.0,0.0,2.0
2023-03-19 16:05:00,Paris Saint Germain,Rennes,0,2,2022,Paris Saint Germain,Rennes,1,0,2,loss,20230319_Paris Saint Germain_Rennes,1.70984,1.70984,,,,,
2023-03-19 19:45:00,Reims,Marseille,1,2,2022,Reims,Marseille,1,1,2,loss,20230319_Reims_Marseille,1.91783,1.91783,55.0,77.1,2.0,0.0,15.0
2023-03-19 14:00:00,Strasbourg,Auxerre,2,0,2022,Strasbourg,Auxerre,1,2,0,win,20230319_Strasbourg_Auxerre,2.88267,1.99909,51.0,68.2,2.0,0.0,11.0
2023-03-19 14:00:00,Troyes,Brest,2,2,2022,Troyes,Brest,1,2,2,draw,20230319_Troyes_Brest,1.00182,1.00182,49.0,78.8,1.0,0.0,24.0
2023-03-31 19:00:00,Marseille,Montpellier,1,1,2022,Marseille,Montpellier,1,1,1,draw,20230331_Marseille_Montpellier,1.43396,0.67386,68.0,81.1,2.0,0.0,12.0
2023-04-01 15:00:00,Auxerre,Troyes,1,0,2022,Auxerre,Troyes,1,1,0,win,20230401_Auxerre_Troyes,1.16561,1.16561,38.0,68.3,0.0,0.0,31.0
2023-04-01 19:00:00,Rennes,Lens,0,1,2022,Rennes,Lens,1,0,1,loss,20230401_Rennes_Lens,1.21006,1.21006,56.0,84.4,2.0,0.0,15.0
2023-04-02 13:00:00,Angers,Nice,1,1,2022,Angers,Nice,1,1,1,draw,20230402_Angers_Nice,0.960041,0.960041,37.0,76.1,1.0,0.0,23.0
2023-04-02 13:00:00,Brest,Toulouse,3,1,2022,Brest,Toulouse,1,3,1,win,20230402_Brest_Toulouse,1.47173,1.47173,41.0,78.3,2.0,0.0,15.0
2023-04-02 13:00:00,Clermont Foot,Ajaccio,2,1,2022,Clermont Foot,Ajaccio,1,2,1,win,20230402_Clermont Foot_Ajaccio,2.13637,0.616183,67.0,83.0,2.0,0.0,7.0
2023-04-02 11:00:00,Lille,Lorient,3,1,2022,Lille,Lorient,1,3,1,win,20230402_Lille_Lorient,1.96183,1.96183,60.0,86.4,3.0,0.0,10.0
2023-04-02 15:05:00,Monaco,Strasbourg,4,3,2022,Monaco,Strasbourg,1,4,3,win,20230402_Monaco_Strasbourg,1.40127,1.40127,50.0,74.2,3.0,1.0,23.0
2023-04-02 13:00:00,Nantes,Reims,0,3,2022,Nantes,Reims,1,0,3,loss,20230402_Nantes_Reims,1.37353,1.37353,48.0,76.8,1.0,0.0,22.0
2023-04-02 18:45:00,Paris Saint Germain,Lyon,0,1,2022,Paris Saint Germain,Lyon,1,0,1,loss,20230402_Paris Saint Germain_Lyon,1.22372,1.22372,,,,,
2023-04-07 19:00:00,Lens,Strasbourg,2,1,2022,Lens,Strasbourg,1,2,1,win,20230407_Lens_Strasbourg,1.31665,1.31665,54.0,82.1,1.0,0.0,17.0
2023-04-08 15:00:00,Angers,Lille,1,0,2022,Angers,Lille,1,1,0,win,20230408_Angers_Lille,1.03911,1.03911,34.0,72.3,2.0,0.0,25.0
2023-04-08 19:00:00,Nice,Paris Saint Germain,0,2,2022,Nice,Paris Saint Germain,1,0,2,loss,20230408_Nice_Paris Saint Germain,1.22259,1.22259,45.0,87.5,1.0,0.0,10.0
2023-04-09 13:00:00,Ajaccio,Auxerre,0,3,2022,Ajaccio,Auxerre,1,0,3,loss,20230409_Ajaccio_Auxerre,0.982688,0.982688,57.0,77.0,1.0,0.0,11.0
2023-04-09 18:45:00,Lorient,Marseille,0,0,2022,Lorient,Marseille,1,0,0,draw,20230409_Lorient_Marseille,0.637221,0.637221,40.0,77.1,0.0,0.0,28.0
2023-04-09 11:00:00,Lyon,Rennes,3,1,2022,Lyon,Rennes,1,3,1,win,20230409_Lyon_Rennes,1.23785,1.23785,59.0,81.3,2.0,0.0,12.0
2023-04-09 13:00:00,Montpellier,Toulouse,1,2,2022,Montpellier,Toulouse,1,1,2,loss,20230409_Montpellier_Toulouse,1.79324,1.79324,51.0,78.0,0.0,0.0,9.0
2023-04-09 15:05:00,Nantes,Monaco,2,2,2022,Nantes,Monaco,1,2,2,draw,20230409_Nantes_Monaco,0.973965,0.973965,49.0,74.2,3.0,0.0,18.0
